Tier,Institution,Type,Alameda locations,Biz card / LOC,Issuer (self/agent),Time-in-biz req (no-seasoning),Doc req (no-doc),Bureau (hard pull),Chex/EWS,Membership access,Apply,New-LLC DPs,Website / source
LOW,Bank of the Orient,Bank,Oakland,LOC only (secured/unsecured revolving li,Officer/relationship-underwritten commercial lending (bankor,unknown (commercial relationship lending; no ,full-doc (commercial LOC = relationship under,unknown,unknown,,Branch / relationship officer ,None found,https://www.bankorient.com/en-us/Bank-Solutions/Business-Solutions/Term-Loans-Line-of-Credit
LOW,Beneficial State Bank,Bank,Oakland,YES - 2 business credit cards + commerci,unknown - card page 403 to fetch; 'connect with a banker' im,unknown (CDFI mission lender; no public TIB s,full-doc (commercial LOC/SBA = officer-underw,unknown,unknown,,Contact banker / primary offic,None found,https://www.beneficialstatebank.com/business-banking/credit-cards
LOW,COMMUNITYAMERICA,CU,Oakland,Yes - Business Visa Rewards credit card ,"Business LOC via dedicated Relationship Manager (self-UW, re",Not published; card page states no TIB/doc re,Card: no doc list published. BLOC: relationsh,Not published,N/A for card; deposit accts likely ChexS,GATED - Kansas City CU. Eligibility,Online membership join then ap,No new-LLC DPs; BLOC is relationship-manager based. Card ter,https://www.communityamerica.com/business/finance/loans-and-credit-cards/business-credit-cards
LOW,City National Bank,Bank,Oakland; Pleasanton,Yes - Visa Commercial Credit Card (and C,Self-UW (card issued directly by City National Bank; CERT 17,Not published on card page. Lending generally,"HEAVY DOC: Business Lending Application Form,","Not published (bank-direct UW, PG + PFS)",Unknown (deposit accts ChexSystems-scree,"Open (commercial bank, no membershi",Online new-account/card orderi,No new-LLC DPs; bank targets established businesses & wealth,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html
LOW,"EverBank, National Association",Bank,Fremont; Oakland,Personal credit cards via Elan; NO dedic,Cards = Elan-issued (personal). Business LOC/SBA = EverBank ,N/A for card (no biz card); LOC/SBA require s,Business LOC/SBA = full docs (tax returns + f,Elan pulls personal bureau for personal ,Not card-relevant,,everbank.com/business/apply (d,No no-doc new-LLC biz-card DP (no biz card product),https://www.everbank.com/business
LOW,First Commercial Bank (USA),Bank,Fremont,LOC only (short-term lines + long-term f,Officer/relationship-underwritten ('structured individually ,unknown (custom-structured commercial credit;,full-doc (individually-structured commercial ,unknown,unknown,,Branch (Fremont) / loan office,None found,https://www.bankfcb.com/Loans
LOW,First Foundation Bank,Bank,Oakland,YES - business credit cards (multiple op,unknown issuer ('contact local branch'); LOC is commercial-b,unknown (cards: 'contact local branch to lear,unknown for cards / full-doc for LOC (cards v,unknown,unknown,,Contact local branch (cards no,SBA page notes 'newer businesses...can find a flexible loan',https://www.firstfoundationinc.com/business-banking/business-lending/business-credit-cards
LOW,"Gateway Bank, F.S.B.",Bank,Oakland,Unclear - small single-branch Oakland th,Unknown - no card program identified,Unknown - no own application page for biz car,Unknown,Unknown,Not card-relevant,,Branch/contact only (Oakland H,No DPs found,https://banks.data.fdic.gov/bankfind-suite/bankfind/details/33103
LOW,Hanmi Bank,Bank,Dublin,Business credit cards (World / World Eli,"Agent-issued: cards issued by Fifth Third Bank, N.A. (own-si",No TIB minimum published on card page; Fifth ,Card: subject to credit review/approval (PG +,Fifth Third pulls personal bureau (typ. ,Chex/EWS on deposit account opening,Open to apply but Fifth Third agent,Branch (Dublin) + forms; agent,Fifth Third agent card less documented for brand-new no-rela,https://www.hanmi.com/business/business-credit-cards/
LOW,"Industrial and Commercial Bank of China USA, National Association",Bank,Oakland,Cards exist (UnionPay/consumer focus) + ,Self-issued (ICBC USA NA) but relationship-gated; commercial,unknown (cards require existing-customer rela,full-doc / relationship (must be existing cus,unknown,unknown,,Email Cardinfo@icbc-us.com or ,None found,https://www.icbc-us.com/
LOW,Metropolitan Bank,Bank,Oakland,Business credit card (link on site; issu,"Lending self-UW (personal banker, relationship). Card likely",Not published; lines/working capital are bank,"Lines/working capital: banker-underwritten, f",Not published,Unknown (deposit accts ChexSystems-scree,Open (Oakland Chinatown community b,Personal banker contact; busin,No new-LLC DPs found. Community-bank lines still relationshi,https://www.met.bank/
LOW,SELF-HELP,CU,Oakland,Business CHECKING/loans for small biz & ,Personal cards self-issued (Mastercard); business = relation,N/A for biz card (none); business loans/LOC n,Business lending = tax returns + financials (,Personal Mastercard pulls personal burea,ChexSystems likely for deposit account,,Branch/online; CA membership v,No new-LLC biz-card DP (no biz card product),https://www.self-helpfcu.org/business
LOW,State Bank of India (California),Bank,Fremont,"Business credit card (via Elan) + LOC, t",Agent-issued: Elan is creditor/issuer (own-site). But SBIC a,No explicit TIB minimum on card page; SBA/LOC,Card REQUIRES: SBIC business checking account,Elan: personal bureau (TU/EX/EQ); biz to,Chex/EWS likely on required business che,Open but card gated by needing SBIC,Online portal / branch (Fremon,Card requires opening SBIC biz checking + showing financial ,https://www.sbical.bank/business-banking/business-credit-cards
LOW,THE GOLDEN 1,CU,Oakland,Business Membership Savings exists; NO d,Personal cards appear self-issued by Golden 1; no business c,None published - but no business card product,N/A for biz card (none found); business lendi,Personal cards pull personal bureau (CA-,Likely ChexSystems for membership deposi,,Online/branch/phone; CA reside,No new-LLC biz-card DP (no biz card product confirmed),https://www.golden1.com/business-services
LOW,Western Alliance Bank,Bank,Oakland,Yes - Business Plus Visa credit card + b,Self-UW (card issued by Western Alliance Bank itself per Vis,"Card: not stated on page (banker-contact, cre",Card: 'all offers of credit subject to credit,Not published (relationship/banker-drive,Unknown,"Open (commercial bank, no membershi",Banker contact form -> banker ,No new-LLC approval DPs found; product is relationship-orien,https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card
NONE,California Pacific Bank,Bank,Fremont; Hayward,No consumer-style biz card; relationship,Self-UW relationship merchant bank; tiny ($56M dep).,No published self-serve product; commercial L,Full financials/tax returns/relationship (mer,N/A (no card product); commercial UW pul,Chex/EWS on deposit acct,Open in theory but no online app; i,In-person / call only; no onli,No no-doc no-season path; brand-new LLC not a fit for relati,https://www.calpacificbank.com/
NONE,Commercial Bank of California,Bank,Oakland,Business lines of credit (working capita,"Self-UW (commercial lender, relationship-based; not an agent",Not published; commercial working-capital/ass,Working-capital and asset-based lines require,"Not published (commercial UW, business +",N/A (card not offered; deposit acct woul,"Open (commercial bank, no membershi",Relationship banker - 'call us,No new-LLC DPs; asset-based/working-capital lines need recei,https://cbcal.com/business-lending/
NONE,F3,CU,OAKLAND,No business credit card or business LOC ,N/A - no business credit product identified,N/A (no business credit product),N/A,N/A,Deposit accts ChexSystems-screened (CU),GATED (occupational SEG) - US Posta,Branch / online for eligible m,No new-LLC DPs; no business credit product and membership ga,https://www.f3creditunion.com/why-join-f3cu/
NONE,"Golden Bank, National Association",Bank,Fremont,No credit card product (business or pers,Self-UW relationship lender (SBA PLP); no agent card program,N/A - lending products require full underwrit,Full docs: tax returns + financials + SBA pap,Personal + business pulls for lending; n,Not card-relevant,,Branch/banker only (Houston HQ,No DPs - no card product exists,https://www.goldenbank-na.com/
NONE,Heritage Bank of Commerce,Bank,Fremont; Livermore; Oakland; Pleasanton,N/A - MERGED into Citizens Business Bank,N/A - acquired,N/A,N/A,N/A,N/A,,N/A (domain now redirects to c,N/A,https://thebusinessjournal.com/citizens-business-bank-tops-20b-in-assets-after-heritage-merger/
NONE,I.L.W.U.,CU,Oakland,Personal Visa credit cards only; no busi,Personal cards self/Visa issued; no business program,N/A - no business card; membership also gated,N/A,Personal bureau for personal cards,ChexSystems likely,,Branch/online; membership REST,No DP - product/eligibility both blocked,https://www.ilwucu.org/loans/credit_cards
NONE,OPERATING ENGINEERS LOCAL UNION #3,CU,Livermore; Pleasanton; San Leandro,Business online banking exists (some bus,N/A for business credit (no clear product). Consumer card se,N/A (no business credit product identified),N/A,N/A,Deposit accts ChexSystems-screened (CU),GATED (union/occupational SEG) - me,Branch / online for eligible m,No new-LLC DPs; gated FOM and no new-business credit card/LO,https://oefederal.org/join-us/how-to-join/eligibility/
NONE,PACIFIC SERVICE,CU,Livermore,NONE - consumer/personal only (Visa Plat,N/A - no business product (pacificservice.org 2026-06-30),N/A,N/A,N/A,N/A,,N/A,N/A,https://www.pacificservice.org/
NONE,PATELCO,CU,Berkeley; Castro Valley; Dublin; Fremont; Hay,Business Rewards Credit Card (SELF-issue,"Self-UW: card issued by Patelco Credit Union (NMLS 506373), ",2 YEARS - VERIFIED own page: 'your business m,Not fully specified; 2yr seasoning is the har,Patelco internal UW (personal credit pul,Chex/EWS on business checking opening,OPEN - live/work/worship/school in ,Online / Virtual Branch / bran,Brand-new LLC BLOCKED by 2yr requirement. Membership open bu,https://www.patelco.org/business-banking/business-rewards-card
NONE,SEA WEST COAST GUARD,CU,Alameda; Oakland,NO business credit product - only PERSON,N/A - no business credit product.,N/A - no business product.,N/A - consumer cards only.,Personal credit pull on consumer cards;,Chex/EWS on $5 savings membership accoun,GATED - Coast Guard (active/retired,"Online/branch (Alameda, Oaklan",No business product at all; consumer-only CU.,https://www.seawest.coop/how-to-join
NONE,SMW 104,CU,Livermore,NONE - consumer Visa only; occupational ,N/A - no business product; occupational FOM (smw104fcu.org 2,N/A,N/A,N/A,N/A,,N/A,N/A,https://smw104fcu.org/credit-card/
NONE,THE POLICE,CU,Pleasanton,No dedicated business credit card or bus,N/A - no business credit product identified; consumer Visa c,N/A (no business credit product),N/A,N/A,Deposit accts ChexSystems-screened (CU),GATED (occupational - law enforceme,Branch / online for eligible m,No new-LLC DPs; no business credit product and law-enforceme,https://www.thepolicecu.org/about-us/about-us-and-membership
NONE,UTILITY DISTRICT,CU,OAKLAND; Oakland,NO business products - consumer only (au,N/A - no business credit product.,N/A,N/A,Personal credit on consumer loans;,Chex/EWS on $25 share + $5 fee membershi,GATED hard - EBMUD (East Bay Munici,Branch (Oakland) - membership-,"Not applicable; tiny ($34M) closed-SEG consumer CU, no busin",https://udcu.org/about/
