Rank,Institution,Type,City,Website,Deposits,Assets,Biz card?,Card link,0% intro,Terms,Underwriter,UW evidence,Apply,Apply link,Bureau (quick),No-doc (quick),ChexSystems,EWS,LexisNexis/SageStream,Other secondary,Live-check note,Sources,Screen date
11,BANC OF CALIFORNIA,Bank,Los Angeles,https://bancofcal.com,27440681,34642892,YES,https://bancofcal.com/business-banking/business-credit-cards/,⭐ 0% 20 billing cycles purch+BT (third-party; official site 403 to fetcher),$0 AF; FX fee 2% USD / 3% foreign; ongoing APR not visible live,Elan,Apply link domain online1.elancard.com (hustlermoneyblog review); Banc of California LAFC card Elan-issued (NerdWallet); official page blocked (HTTP 403),Online (Elan portal),online1.elancard.com (per review; official page 403 to fetcher),Not visible,Not visible,Consumer: Yes — VERIFIED own DAAD eff. 2026-01-01: 'new accounts are subject to verification through ChexSystems' | BUSINESS: Yes (signer) — VERIFIED: same DAAD governs business accounts ('All other accounts shall be considered business accounts') and screening triggers 'by becoming an authorized signer'; closures reported to Chex [2026-06-11 (doc eff. 2026-01-01)] (https://dam.bancofcal.com/m/7ac537b3b4b71842/original/Deposit-Account-Agreement-and-Disclosure-DAAD-1-1-26.pdf),Consumer: No mention — 0 EWS hits in 34-pg DAAD (lean-no) | BUSINESS: No mention (lean-no) [2026-06-11 (doc eff. 2026-01-01)] (https://dam.bancofcal.com/m/7ac537b3b4b71842/original/Deposit-Account-Agreement-and-Disclosure-DAAD-1-1-26.pdf),UNKNOWN,UNKNOWN,LIVE-CONFIRMS (Elan + 0% 20 cycles + $0 AF stand; caveat: bancofcal.com serves 403 to fetcher - verified via search-indexed official page title + third party; card page URL now /business-banking/business-credit-cards/),https://bancofcal.com/business-banking/business-credit-cards/ | https://www.hustlermoneyblog.com/banc-of-california-business-card/,2026-06-11
12,FIRST TECHNOLOGY FEDERAL CREDIT UNION,Credit Union,San Jose,https://www.firsttechfed.com,24592589,28579914,UNCLEAR,https://www.firsttechfed.com/help/cardholder-benefits,NO (none published),Mastercard Business Credit Card benefits listed 'for existing card holders only'; no rates/AF published; site returned 503 to direct fetch - verified via Google-indexed firsttechfed.com pages,UNKNOWN,No issuer/portal disclosed for the business Mastercard; benefits page only (Mastercard Easy Savings/Receipt Mgmt boilerplate),Phone/branch (no online app for business card),,—,—,Pull: Mixed (4 yes / 3 no) — SENSITIVE [DOC-LIST; 2025-08-07] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (business MC exists but existing-cardholders-only, no online app, no published terms)",https://www.firsttechfed.com/help/cardholder-benefits; https://www.firsttechfed.com/borrow/credit-cards,2026-06-11
13,AXOS BANK,Savings Institution (Federal Savings Bank),San Diego,https://www.axosbank.com,22684696,28237712,YES,https://www.axosbank.com/commercial/banking/global-treasury-management/commercial-credit-card,NO,Visa Commercial Credit Card (1% cash back) + Visa Commercial Charge Card (up to 1.75%); $0 AF both; commercial/consult channel,UNKNOWN,Page names no issuer; eZBusiness/eZCardInfo is servicing portal only — agent-platform marker but underwriter not decodable,Schedule-a-call/consult,https://www.axosbank.com/commercial/banking/global-treasury-management/commercial-credit-card,—,—,"Yes — UPGRADE to VERIFIED: own support FAQ: 'Axos will not be able to process or approve your application with a ChexSystems freeze in place' — applies to PERSONAL and BUSINESS accounts; DoC: 6 DPs, NOT inquiry-sensitive (approved 50+/12mo) [VERIFIED (own FAQ) + DOC-LIST; 2026-06-12] (https://www.axosbank.com/business/support/faqs)",UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://www.axosbank.com/commercial/banking/global-treasury-management/commercial-credit-card,2026-06-11
14,CATHAY BANK,Bank,El Monte,https://www.cathaybank.com,20697975,24035136,YES,https://www.cathaybank.com/business/credit-cards,"⭐ YES — intro APR 6 mo (Mastercard Business Platinum, purchases+BT; rate not shown)","MC Business Platinum (low rate, 6-mo intro) + Business Platinum Rewards (1% cash back unlimited); APR/AF on Elan storefront",Elan,Live footer: creditor and issuer of these cards is Elan Financial Services (Visa/Mastercard licenses),Online,https://www.mycardapply.com/synindex/?ecdma-lc=36055&ecid=OTHE_25940&offertype=0#business,—,—,Generic-CRA-clause (vendor unnamed) — own Deposit Account Agreement (consumer+business) sec.50 'Use of Consumer Reporting Agencies': 'third party services to verify... previous banking relationships'; ChexSystems never named; one weak undated forum claim of NO Chex stands [VERIFIED-absence (own doc) + weak COMMUNITY-DP; 2026-06-12] (https://www.cathaybank.com/documents/personal/digital-account-opening/deposit-account-agreement.pdf),Generic-CRA-clause (vendor unnamed) — 0 EWS hits in 40-pg agreement [VERIFIED-absence; 2026-06-12] (https://www.cathaybank.com/documents/personal/digital-account-opening/deposit-account-agreement.pdf),Not named in own agreement [VERIFIED-absence; 2026-06-12] — inquiry-side UNKNOWN (https://www.cathaybank.com/documents/personal/digital-account-opening/deposit-account-agreement.pdf),UNKNOWN,"LIVE-CONFIRMS (Elan, 6-mo intro, 1% cash back, online apply)",https://www.cathaybank.com/business/credit-cards,2026-06-11
15,THE GOLDEN 1 CREDIT UNION,Credit Union,Sacramento,https://www.golden1.com,19512114,21737187,NO,—,—,Card lineup is consumer-only: Member First (secured) / Member Cash Rewards+ / Member Rate Advantage; business services page (deposit-side) 503'd to bot but search of golden1.com shows no business card product,—,golden1.com/credit-cards lists only 3 personal cards; no business card page found on domain [raw: None (self-issues personal cards only)],No,—,—,—,Yes — pulls Chex and is INQUIRY-SENSITIVE ('signing up for lots of bank bonuses => struggle to be approved for membership') [DOC-LIST; 2026-06-12 search] (https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/),UNKNOWN,UNKNOWN,"Equifax HARD pull just to join (credit bureau, noted for completeness) [COMMUNITY-DP; 2026-06-12] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/)",LIVE-CONFIRMS,https://www.golden1.com/credit-cards,2026-06-11
16,MECHANICS BANK,Bank,Walnut Creek,https://www.mymechanics.com,18251541,21403986,YES,https://www.mymechanics.com/business/loans-credit/business-credit-cards/,⭐ 0% 12 billing cycles (Cash Preferred; purchases+BT); 0% 6 cycles (Real Rewards),Cash Preferred: 17.24-26.24% after intro $0 AF 3% gas/EV/cell/office/dining; Smart Business Rewards $0 intro then $95 AF; Real Rewards 1.5X $0 AF,Elan,"Verbatim on bank page: ""The creditor and issuer of these cards is Elan Financial Services""",Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=23692&ecid=OTHE_25940,not visible live (prior: TransUnion varies),not visible live,Yes — VERIFIED own Personal Account Agreement (doc dated 2026-03-23): 'new accounts are subject to verification through ChexSystems (the Reporting Agency) and may be declined based in whole or in part on information obtained in a report' [VERIFIED (own doc); 2026-06-12] (https://www.mechanicsbank.com/contentassets/9e0348bebd2b44b2a8fa059267bcab78/1200-personal-account-agreement-disclosure-mkt10000-v3-final-mkt-copy.pdf),Not named in own 20-pg Personal Account Agreement [VERIFIED-absence; 2026-06-12] — inquiry-side UNKNOWN (https://www.mechanicsbank.com/contentassets/9e0348bebd2b44b2a8fa059267bcab78/1200-personal-account-agreement-disclosure-mkt10000-v3-final-mkt-copy.pdf),Not named in own agreement [VERIFIED-absence; 2026-06-12] (https://www.mechanicsbank.com/contentassets/9e0348bebd2b44b2a8fa059267bcab78/1200-personal-account-agreement-disclosure-mkt10000-v3-final-mkt-copy.pdf),UNKNOWN,LIVE-CONFIRMS (Elan; 0% 12 cycles; 17.24-26.24%; $0 AF; 3% categories all match prior),https://www.mymechanics.com/business/loans-credit/business-credit-cards/ | https://creditcardlearnmore.com/11t3/index?ecdma-lc=23692&ecid=OTHE_25940,2026-06-11
17,Western Alliance Bank,Out-of-state bank with CA branches (SOD),Phoenix,https://www.westernalliancebancorporation.com,17032527,98766387,YES,https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card,NO (no intro offer shown live),"Visa Business Plus: revolving, 1pt/$1, low fees, balance transfers, eZBusiness mgmt; APR not published; also commercial ONE Card / Commercial Plus",SELF,Live page: 'This card is issued by Western Alliance Bank... pursuant to a license from Visa USA Inc.',Online form -> banker callback in 2-3 business days (not instant online decision),https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card,Not visible live (prior mentor DP: TransUnion - unverified),Not visible live (prior: PG conditional; financials at banker discretion),"Consumer: Yes — Crediful (2025-10-24): 'uses ChexSystems when reviewing new account applications'; no second-chance product | BUSINESS: Signer-auth — VERIFIED own DAA (eff. 2023-10, covers Business Account type): 'obtain... consumer and/or credit reports about any Account owner or authorized signer... considering your application'; vendor NOT named in doc [2026-06-11 (doc fetched; Crediful 2025-10-24)] (https://www.westernalliancebancorporation.com/sites/default/files/2024-01/wab-deposit-account-agreement-and-disclosure.pdf)",Consumer: No mention in 50-pg DAA; not on DoC EWS list (lean-no) | BUSINESS: No mention (lean-no) [2026-06-11 (doc fetched; Crediful 2025-10-24)] (https://www.westernalliancebancorporation.com/sites/default/files/2024-01/wab-deposit-account-agreement-and-disclosure.pdf),UNKNOWN,UNKNOWN,LIVE-CONFIRMS-PRIOR (minor: apply is web form + banker contact rather than pure in-person),https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card; https://www.westernalliancebancorporation.com/small-business/business-credit-cards,2026-06-11
18,BANK OF HOPE,Bank,Los Angeles,https://www.bankofhope.com,15771705,18652384,YES,https://www.bankofhope.com/business-banking/credit-cards,Not visible on live page (prior: 0% 9 cycles),Low-rate / cash-back / rewards buckets; free employee cards; terms behind Elan apply portal,Elan,"Live quote: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""",Online (Elan portal via LEARN MORE),https://www.mycardapply.com/synindex/?ecdma-lc=37106&ecid=OTHE_25940&offertype=0#business,Not visible,Not visible,Pull: Yes — SENSITIVE (want <5/12mo) [DOC-LIST; fetched 2026-06-10] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONTRADICTS (prior apply=In-person; live LEARN MORE goes to online Elan apply portal mycardapply.com). Elan confirmed; 0% 9 cycles not visible live (prior richer on terms),https://www.bankofhope.com/business-banking/credit-cards | https://www.mycardapply.com/synindex/?ecdma-lc=37106&ecid=OTHE_25940&offertype=0#business,2026-06-11
19,"HSBC Bank USA, National Association",Out-of-state bank with CA branches (SOD),Tysons,https://www.us.hsbc.com,15549922,167705510,NO,,NO,"Commercial/corporate cards only (Corporate Card, One Card, Purchasing Card, Virtual Card) for CMB clients; no small-business credit card; no published APR/terms",—,"'Issued by HSBC Bank USA, N.A. and its affiliates'; subject to credit approval (corporate programs) [raw: SELF]",In-person/contact (commercial RM),https://www.business.us.hsbc.com/en/contact-hsbc,—,—,Mixed DPs (DoC 2025-08-07) [DOC-LIST; 2025-08-07] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),"Yes — pulls, multiple DPs (DoC EWS list, acc. 2026-06-10) [DOC-LIST; 2025-08-07] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/)",UNKNOWN,UNKNOWN,LIVE-CONFIRMS (commercial-only; no SMB card; prior's $100M+ revenue threshold not stated on live page - PRIOR-RICHER on that detail),https://www.business.us.hsbc.com/en/products/corporate-cards,2026-06-11
20,"Zions Bancorporation, N.A.",Out-of-state bank with CA branches (SOD),Salt Lake City,https://www.calbanktrust.com,15529542,87956932,YES,https://www.calbanktrust.com/business/business-credit-cards/,⭐ YES,AmaZing Rate: 0% intro 6mo then 13.75% variable; $0 AF; AmaZing Cash 3/2/1% + $500 bonus; AmaZing Rewards 3x/2x/1x + 50K pts; commercial card also offered,SELF,Issuer stated as California Bank & Trust a division of Zions Bancorporation N.A.; apply flow on secureapps-b.calbanktrust.com (own stack),Online,https://secureapps-b.calbanktrust.com/zbc/naop/form/render?productLine=CREDIT_CARD&dc=SELF_SERVICE&ipq=false&customerType=Commercial&formType=NewBusinessAccount&affiliateNumber=140&productId=184,—,—,Consumer: Yes — VERIFIED own charter-wide Deposit Agreement (eff. 2026-07-20): 'status reports by a credit reporting or check reporting agency' at opening; Crediful-Zions 2025-10-08 pulls Chex; Chex dispute address in doc | BUSINESS: Likely-Yes (signer) — same agreement governs 'CONSUMER ACCOUNTS... OR BUSINESS ACCOUNTS AND SERVICES'; verification clause is account-type-agnostic; no biz carve-out [2026-06-11 (doc eff. 2026-07-20; Crediful 2025-10-08)] (https://www.zionsbank.com/content/dam/zbna/disclosures/shared/general/depositagreement.pdf (charter-wide incl. CB&T)),"Consumer: Furnishes-YES (doc: 'request a copy of your consumer report... earlywarning.com'); inquiry-side UNKNOWN | BUSINESS: Furnishes likely (same doc, biz in scope); inquiry UNKNOWN [2026-06-11 (doc eff. 2026-07-20; Crediful 2025-10-08)] (https://www.zionsbank.com/content/dam/zbna/disclosures/shared/general/depositagreement.pdf (charter-wide incl. CB&T))",UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://www.calbanktrust.com/business/business-credit-cards/ | https://www.calbanktrust.com/business/business-credit-cards/amazing-rate-card/,2026-06-11
21,Comerica Bank,Out-of-state bank with CA branches (SOD),Dallas,https://www.comerica.com/small-business/banking-and-services/business-credit-cards.html,14908067,80052000,YES,https://branchoffer.com/11t1/smart-business-rewards?bankercode=seg313&ecdma-lc=09077&ecid=OTHE_26646,NO on Smart Business Rewards (no 0% intro APR; $0 intro AF yr1). Prior 0% 12cyc Business Cash not re-verifiable (comerica.com 503),"Smart Business Rewards: 2X top-2 categories, 20K pts/$500 SUB, $95 AF after yr1, 18.24-25.24% var; ExtendPay",Elan,Live branchoffer page: issued by Elan Financial Services; Elan storefront platform,Online,https://branchoffer.com/11t1/smart-business-rewards?bankercode=seg313&ecdma-lc=09077&ecid=OTHE_26646,—,—,Pull: Yes (3 DPs; NOT sensitive — approved 80+/24mo) [DOC-LIST + COMMUNITY-DP; 2024-05-05] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Pull: Yes [DOC-LIST + COMMUNITY-DP; 2024-05-05] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492),UNKNOWN,UNKNOWN,PRIOR-RICHER (Smart Biz Rewards $95-after-yr1 + Elan LIVE-CONFIRMED; Business Cash 0% 12cyc from prior only — comerica.com 503-blocked),https://branchoffer.com/11t1/smart-business-rewards?bankercode=seg313&ecdma-lc=09077&ecid=OTHE_26646,2026-06-11
