filename,type,description,client_name,canva_asset_name,canva_design,source
individual/APW__result__navy-federal-check__not-to-exceed.png,result-screenshot,"Navy Federal check, 'not to exceed' amount, details redacted",not on image (redacted) / not in Canva asset name,IMG_3183.jpg,Results (DAHNjI0PKzE) page 25,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__business-rewards-visa-signature__credit-limit-25000.png,result-screenshot,"Business Rewards Visa Signature: credit limit $25,000, available $25,000",not on image (redacted) / not in Canva asset name,Screenshot,Results (DAHNjI0PKzE) page 26,https://www.canva.com/d/laF86hk7f96zfWl
ads-2026-09-07/APW__ad__funding-results-testimonials__LINE__established-owners__square.png,finished-ad,"Free Funding Course ad, ICP established owners, comment keyword LINE; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 1,https://www.canva.com/d/U4T_uGmkDh9rf89
ads-2026-09-07/APW__ad__funding-results-testimonials__BUY__six-figure-professional-buying-business__square.png,finished-ad,"Free Funding Course ad, ICP six figure professional buying business, comment keyword BUY; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 2,https://www.canva.com/d/U4T_uGmkDh9rf89
ads-2026-09-07/APW__ad__funding-results-testimonials__DEAL__ready-to-buy-a-business__square.png,finished-ad,"Free Funding Course ad, ICP ready to buy a business, comment keyword DEAL; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 3,https://www.canva.com/d/U4T_uGmkDh9rf89
ads-2026-09-07/APW__ad__funding-results-testimonials__PAY__processor-holding-revenue__square.png,finished-ad,"Free Funding Course ad, ICP processor holding revenue, comment keyword PAY; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 4,https://www.canva.com/d/U4T_uGmkDh9rf89
ads-2026-09-07/APW__ad__funding-results-testimonials__MED__medical-practice-expanding__square.png,finished-ad,"Free Funding Course ad, ICP medical practice expanding, comment keyword MED; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 5,https://www.canva.com/d/U4T_uGmkDh9rf89
ads-2026-09-07/APW__ad__funding-results-testimonials__GAP__insurance-payments-delayed__square.png,finished-ad,"Free Funding Course ad, ICP insurance payments delayed, comment keyword GAP; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 6,https://www.canva.com/d/U4T_uGmkDh9rf89
ads-2026-09-07/APW__ad__funding-results-testimonials__TECH__software-company-runway__square.png,finished-ad,"Free Funding Course ad, ICP software company runway, comment keyword TECH; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 7,https://www.canva.com/d/U4T_uGmkDh9rf89
ads-2026-09-07/APW__ad__funding-results-testimonials__RIG__trucking-owner-equipment__square.png,finished-ad,"Free Funding Course ad, ICP trucking owner equipment, comment keyword RIG; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 8,https://www.canva.com/d/U4T_uGmkDh9rf89
ads-2026-09-07/APW__ad__funding-results-testimonials__KEYS__rental-investor-under-contract__square.png,finished-ad,"Free Funding Course ad, ICP rental investor under contract, comment keyword KEYS; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 9,https://www.canva.com/d/U4T_uGmkDh9rf89
ads-2026-09-07/APW__ad__funding-results-testimonials__GROW__software-owner-0pct__square.png,finished-ad,"Free Funding Course ad, ICP software owner 0pct, comment keyword GROW; uses $50,000 approval + $25,000 card + testimonial cards (Matthew, Ashwini, Jill)",first names on testimonial cards only,,CCA | SQUARE | Funding Results + Testimonials | 07 Sep 2026 (DAHUgD9ys4I) page 10,https://www.canva.com/d/U4T_uGmkDh9rf89
