"⚠ Rank = value. For APPLICATION ORDER use Tab 1B — do not apply top-down. (Chase/BofA/Wells stack AFTER the PNC deposit; sets of 3 same-day; see ""Sprint slot (1B)"" column →)",,,,,,,,,,,,,,,
Rank,Institution,Why it's here,Nearest location + miles,Bureau pulled (+grade),ChexSystems,EWS,Biz card confirmed?,Stated/Est. limit,No-doc?,Self-UW / issuer,Apply,Assets,Next action,Sprint slot (1B),Reports to personal?
11,Ramp (https://ramp.com),"No pull, no PG, cash-UW",Online (national),NONE — no personal credit check [VERIFIED] (https://ramp.com),N/A (fintech KYC) (https://ramp.com),N/A (https://ramp.com),Y (charge) (https://ramp.com),~10–20% of linked business cash; needs ≥$25K balance (https://ramp.com),Y — bank-link IS the underwriting (https://ramp.com),Issuers: Celtic + Sutton Bank,Online,issuer Celtic $4.97B,"Layer now — costless, no pull",NO-PULL #1 — start Day 0,No (no PG; no personal reporting)
12,Mercury IO (https://mercury.com/credit),No pull; balance-based,Online (national),NONE — no credit check [VERIFIED] (https://mercury.com/credit),N/A (fintech KYC) (https://mercury.com/credit),N/A (https://mercury.com/credit),Y (charge) (https://mercury.com/credit),~$5K intro; $15K+ kept at Mercury unlocks more (https://mercury.com/credit),"Y — no docs, balance-based (https://mercury.com/credit)",Issuer: Patriot Bank N.A.,Online,issuer Patriot $1.18B,Open Mercury checking; IO in-dashboard,NO-PULL #2 — start Day 0,No (verified)
13,BILL Spend & Expense (Divvy) (https://www.bill.com/product/spend-and-expense),"$20–50K lines, no tax docs",Online (national),No hard personal pull reported [COMMUNITY-DP] (https://www.bill.com/product/spend-and-expense),Unknown (no traditional Chex) (https://www.bill.com/product/spend-and-expense),Unknown (https://www.bill.com/product/spend-and-expense),Y (charge) (https://apply.divvy.co),$20K–$50K common w/ real balance (Nav) (https://apply.divvy.co),Y — bank-link; PG status CONFLICTING (https://www.bill.com/product/spend-and-expense),Issuers: Cross River + WEX,Online,issuer Cross River $8.71B,Apply after parking balance; document PG ask,NO-PULL #3 — after PG answer documented,No routine personal; SBFE biz
14,Sam's Club Business MC (Synchrony) (https://www.samsclub.com/credit),EIN-only no-PG path,Clubs across IE/LA (in-club app),EIN-only path: NO personal pull; PG path: Synchrony HP [COMMUNITY-DP] (https://www.samsclub.com/credit),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.samsclub.com/credit),$8K–$10K instant; $30K via CLIs (myFICO 6701656) (https://www.samsclub.com/credit),Y — EIN-only w/ established D&B file (https://www.samsclub.com/credit),Synchrony co-brand,In-club,Synchrony $114.86B,"Build D&B file, then in-club EIN-only",NO-PULL #4 — after D&B file built,No (EIN path — biz bureaus only)
15,First Citizens (https://www.firstcitizens.com/small-business/credit-financing/credit-cards),$20K SL DP; tri-bureau,LB 2.82 mi (branch-apply only),Tri-bureau blend + biz bureaus; EQ shows on checking [COMMUNITY-DP] (https://ficoforums.myfico.com/t5/Business-Credit/20k-First-Citizens-Low-Interest-Business-CC-approval/td-p/6704468),Yes (sensitive 32+/12mo only) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Reports (no inquiry DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.firstcitizens.com/small-business/credit-financing/credit-cards),"$20K SL (Low-Interest, branch + biz checking; myFICO 6704468) (https://www.firstcitizens.com/small-business/credit-financing/credit-cards)",Partial — no tax returns but branch+relationship gated (https://www.firstcitizens.com/small-business/credit-financing/credit-cards),Self (First-Citizens B&T),Branch,~$236B,"Open biz checking at LB branch, then card","EQ Set 1 #2 — tri-merge (pulls all 3); thaw all 3, schedule LAST or standalone",Unknown (likely derog-only)
16,California Bank & Trust (CB&T) (https://www.calbanktrust.com),Mentor: branch verify; $250K ads,LB 0.12 mi (Zions branch),"BRANCH VERIFY (mentor) — zero public DPs, AGREES [UNKNOWN] (https://ficoforums.myfico.com/t5/Credit-Cards/Anyone-with-experience-Zion-Bancorp/td-p/1835533)",Yes (Zions deposit agreement) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Furnishes (no inquiry screen) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.calbanktrust.com/business/business-credit-cards/),Advertised up to $250K (AmaZing) (https://www.calbanktrust.com/business/business-credit-cards/),Y — no tax-return req advertised (cards) (https://www.calbanktrust.com/business/business-credit-cards/),Self (Zions Bancorporation NA),Online,"— ‖ v7.2: $87.96B (Zions consolidated; FDIC 2026-03-31, assets_fill)",Ask banker the bureau at 444 W Ocean Blvd,"ASK Set 1 #1 — branch-verify bureau at 444 W Ocean Blvd, then slot",Unknown
17,Banc of California (https://bancofcal.com),0.0 mi LB; best 0% (20 cyc),LB 0.0 mi (WTC); Fontana 7.80 mi,"Elan-variable: EQ then EX seen, same applicant (myFICO 6244031) [COMMUNITY-DP] ‖ v7.2: Tab 3 lean: TransUnion (varies EX/EQ) — Elan roulette, harmonized w/ Tabs 1B/3 (#'8. BUREAU EVIDENCE'!A1)",Yes (weak source; verify) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://bancofcal.com/payment-solutions/business-credit-card/),"~$3K–$10K start, ~$20K strong (Elan; myFICO 6658960) (https://bancofcal.com/payment-solutions/business-credit-card/)","Y — PG, no tax returns <$25K (https://bancofcal.com/payment-solutions/business-credit-card/)",Elan (biz card); self commercial card,Online,$34.64B,0% 20-cycle card if Elan OK,ASK Set 2 #4 — Elan roulette; only when all 3 thawed or post-sprint,Derog-only (not reported in good standing)
18,City National Bank (https://www.cnb.com),0.09 mi LB; RM commercial,LB 0.09 mi; Ontario 7.91 mi,EX (personal Crystal proxy); biz N/M [CONSUMER-PROXY] (#'8. BUREAU EVIDENCE'!A1),Yes (not sensitive) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (commercial only) (https://www.cnb.com/business-banking/lending/credit-cards/commercial.html),Commercial Visa — limits relationship-based (https://www.cnb.com/business-banking/lending/credit-cards/commercial.html),N — full-doc (PFS + tax returns) (https://www.cnb.com/business-banking/lending/credit-cards/commercial.html),Self,Branch/RM,$99.95B,Only with RM relationship; full-doc,ASK Set 3 #9 — RM/full-doc; low priority,Unknown
19,F&M Bank Long Beach (https://www.fmb.com),0.47 mi; LB institution,LB 0.47 mi (302 Pine Ave),"Elan-variable (TU-lean, EX/EQ seen) [COMMUNITY-DP] (#'8. BUREAU EVIDENCE'!A1)",Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://creditcardlearnmore.com/11t3/index?ecdma-lc=31463&ecid=OTHE_25940),~$3K–$10K start (Elan platform; myFICO 6658960) (https://creditcardlearnmore.com/11t3/index?ecdma-lc=31463&ecid=OTHE_25940),"Y — PG, no tax returns <$25K (https://www.fmb.com)",Elan (card); relationship bank,Online,$11.86B,Elan roulette; or branch relationship LOC,ASK Set 3 #8 — Elan roulette like BofCal,No (inferred — D&B/SBFE)
20,Comerica → Fifth Third (CA) (https://www.comerica.com/small-business/banking-and-services/business-credit-cards.html),Branches now 5/3 (2026-02),LB 0.58 mi; RC 5.29 mi — now Fifth Third,"Elan (usually EX, TU seen); new customers in-branch [UNKNOWN]",Yes (not sensitive 80+/24mo OK) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Yes (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.comerica.com/small-business/banking-and-services/business-credit-cards.html),$25K starting DP (Elan; creditboards 632782) (https://www.comerica.com/small-business/banking-and-services/business-credit-cards.html),"Y — PG, no tax returns (https://www.comerica.com/small-business/banking-and-services/business-credit-cards.html)",Elan,Branch,~$79B,Verify Fifth Third onboarding at ex-Comerica branch,Not slotted — see 1B footnote (mid-conversion to Fifth Third),Derog-only (default)
21,UMB Bank (https://www.umb.com/business-banking/business-credit-cards),Self-issued; online app,Online (dao.umb.com/sbla),TU (consumer Simply Rewards proxy) [COMMUNITY-DP] (https://ficoforums.myfico.com/t5/Credit-Cards/UMB-Bank-Approval-Criteria-Quirks/td-p/6804033),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.umb.com/business-banking/business-credit-cards),"No published max, no DPs — ask RM (https://www.umb.com/business-banking/business-credit-cards)","Y — questionnaire-style, no tax returns stated (https://www.umb.com/business-banking/business-credit-cards)","Self (""issued by UMB Bank n.a."")",Online,~$68B,Apply online (15–20 min) or ask limit band first,TU Set 2 #4 (Sprint E+),Unknown
22,Valley Strong CU (https://www.valleystrong.com),Open join; self-UW inferred,Online join (FFA) from both addresses,UNKNOWN; membership = SOFT pull (DoC) [UNKNOWN],Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.valleystrong.com/business-platinum-credit-card),"Unpublished (""high spending limits"") — phone screen (https://www.valleystrong.com/business-platinum-credit-card)",Partial — docs unpublished (https://www.valleystrong.com),"Self (INFERRED-strong, CFPB agreement DB)",Online,$4.1B,PHONE SCREEN: limits + docs + Chex,ASK Set 2 #5 — phone screen first; join now (soft pull),Unknown
23,Southland CU (https://www.southlandcu.org),NEW: 1.1 mi LB; Chex BLOCKER,LB 1.14 mi (1050 Linden Ave),UNKNOWN (#'8. BUREAU EVIDENCE'!A1),Yes — CONFIRMED (own FAQ) (https://www.southlandcu.org/faq/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),N (biz CC unverified) (https://www.southlandcu.org/borrow/credit-cards/),$25K max unsecured (consumer cap published) (https://www.southlandcu.org/borrow/credit-cards/),Partial — biz account app PDF published (https://www.southlandcu.org/southlandcu/media/PDF-Form/account_application_business.pdf),"Self (""issued by Southland CU"")",Branch,$1.29B,Phone-confirm biz CC exists; clean Chex required,ASK Set 4 #11 — confirm biz card exists; clean Chex required,Unknown
24,LAFCU (https://www.lafcu.org),$50K max ads; Chex BLOCKER,LA County branches (~20 mi LB),"TU (mentor + ~2010 rep DP + Dovly tie-in) [PARTIAL proxy] ‖ v7.2: Tab 2 verdict: TU proxies only (2010 rep + Dovly), biz-card bureau unknown — pull-test or ask",Yes — own site verbatim (BLOCKER) (https://www.lafcu.org),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.lafcu.org/loans-credit/business-loans),"Up to $50,000 advertised MAX (https://www.lafcu.org/loans-credit/business-loans)",Partial — income docs N/M; 2yr TIB gate (https://www.lafcu.org/loans-credit/business-loans),Self (LAFCU is creditor),Online,~$1.28B,Only w/ clean Chex + low inquiries + 2yr TIB,CLOCK — 2yr TIB + clean Chex; never a set pick,"Yes (TU+EX, dated 2011 DP; biz N/M)"
25,Arrowhead CU (https://www.arrowheadcu.org/arrowhead-visa),1.2 mi Fontana; loans only,Fontana 1.22 mi; LB 4.75 mi,N/M (free EX/FICO score to cardholders) [UNKNOWN] (#'8. BUREAU EVIDENCE'!A1),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),N (no biz card) (https://www.arrowheadcu.org/arrowhead-visa),No biz card; business = loans/SBA/CRE (https://www.arrowheadcu.org/arrowhead-visa),N — loan path full-doc likely (https://www.arrowheadcu.org/arrowhead-visa),Self (consumer cards),Branch,~$2.31B ‖ NCUA fill,Skip for cards; SBA/LOC backup only,Not slotted — see 1B footnote (no biz card),Unknown
26,CU SoCal (https://www.cusocal.org/cards/credit-card/),1.8 mi Fontana; no biz card,Fontana 1.83 mi,N/M [UNKNOWN] (#'8. BUREAU EVIDENCE'!A1),Yes — HIGHLY SENSITIVE (denied 3 inq/6mo) (https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),N (no biz card) (https://www.cusocal.org/cards/credit-card/),"Consumer Visa only (""may not be used for business"") (https://www.cusocal.org/cards/credit-card/)",N (https://www.cusocal.org/cards/credit-card/),Self (consumer),Branch,~$3.7B ‖ v7.2: $3.94B (NCUA 2026-03-31),Skip — no biz card + Chex-sensitive,Not slotted — see 1B footnote (deposit pre-work decision only),Yes (consumer cards)
27,Premier America CU (https://www.premieramerica.com/business/loans/premier-business-mastercard),EX; $50K cap; Chex-sensitive,SoCal branches (Chatsworth HQ),EX (consumer card hard-EX 2022 + EX×4 prior) [COMMUNITY-DP],Yes — INQUIRY-SENSITIVE (3/90d deny) (https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.premieramerica.com/business/loans/premier-business-mastercard),$5K–$50K ($50K needs 2+yr profitable) (https://www.premieramerica.com/business/loans/premier-business-mastercard),"Y — PG, no tax returns on app (https://www.premieramerica.com/business/loans/premier-business-mastercard)",Self (confirmed creditor),Online,~$3.31B,Only if Chex inquiries <3/90d,EX Set 3 #7 (Sprint E+) — join in pre-work while Chex clean,Derog-only (lates reported)
28,Kinecta FCU (https://www.kinecta.org/credit-card/mypro),EX; in-house biz MC,South Bay branches (~10 mi LB),EX-only consensus (myFICO 5679332) [CONSUMER-PROXY] (https://ficoforums.myfico.com/t5/Credit-Cards/Kinecta-Info/td-p/5679332),Yes — pulls + reports (own doc) (https://www.kinecta.org/Kinecta/media/Kinecta/Forms/Fraud%20and%20Theft%20and%20Dispute%20Forms/consumer_credit_reporting_dispute.pdf),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.kinecta.org/credit-card/mypro),N/M — no DP found; 3/2/1% cash back (https://www.kinecta.org/credit-card/mypro),Partial — financials on request (https://www.kinecta.org/credit-card/mypro),Self (Kinecta FCU),Branch,~$6.8B ‖ v7.2: $6.44B (NCUA 2026-03-31),By-appointment app; ask limit band,EX Set 3 #9 (Sprint E+),Unknown
29,SDCCU (https://www.sdccu.com/business/business-credit-card/),EX membership pull reused,Online (SD-based; CA join),"EX membership hard pull, reused (myFICO 6761567, 2024-05-24) [COMMUNITY-DP] (https://ficoforums.myfico.com/t5/Credit-Cards/San-DIego-County-Credit-Union-SDCCU-Does-anyone-have-any-DP-s-or/td-p/6761567)",Yes — uses/furnishes (own FAQ) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.sdccu.com/business/business-credit-card/),$5K–$20K (myFICO 6761567); 11.74% low APR (https://www.sdccu.com/business/business-credit-card/),Partial — income reviewed (https://www.sdccu.com/business/business-credit-card/),Self (SDCCU),Online,~$9.26B ‖ v7.2: $9.38B (NCUA 2026-03-31),One EX pull covers join+card; clean Chex needed,EX Set 3 #8 (Sprint E+) — join+card same EX-pull window,Derog-only (negative/default)
30,Banner Bank (https://www.bannerbank.com/business-solutions/services/small-business-credit-card),Mentor TU; Chex BLOCKER flag,RC 5.37 mi (Fontana side),Mentor: TU — NO public DP; bank will DISCLOSE bureau on request [MENTOR-ONLY] (https://www.bannerbank.com/personal/credit-cards),Yes — SENSITIVE (BLOCKER; BankOn acct = fallback) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard),N/M — no DP; 0% 12mo $0 AF (https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard),N — full PG underwrite (Tax ID + revenue + guarantor) (https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard),Self (Banner Bank; ampliFI rewards),Branch (PDF app),~$16.56B ‖ $16.34B (FDIC 2026-03-31),Clean Chex first; ask bureau post-app (they disclose),"ASK Set 4 #10 — ask bureau (they disclose), then slot; clean Chex first",Unknown
31,Chino Commercial Bank (LOC) (https://www.chinocommercialbank.com),Nearby LOC; NO card,RC 5.50 mi (Fontana side),N/M [UNKNOWN] (#'8. BUREAU EVIDENCE'!A1),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),N (LOC only) (https://www.chinocommercialbank.com),Unsecured biz LOC offered; limits unpublished (https://www.chinocommercialbank.com),N — standard commercial UW expected (https://www.chinocommercialbank.com),Self (LOC); no card,Branch,$0.47B,LOC backup only — not a card play,Not slotted — see 1B footnote (LOC backup only),Unknown
32,American Plus Bank dba ICB (LB) (https://bankaplus.com),0.56 mi LB; TCM caveat,LB 0.56 mi (249 E Ocean Blvd),TCM program — pull not published (TCM ≈ EX per stacking.capital) [UNKNOWN] (#'8. BUREAU EVIDENCE'!A1),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (TCM-issued) (https://bankaplus.com/Credit-Cards),UNKNOWN (TCM; limits not published) (https://bankaplus.com/Credit-Cards),Partial — branch UW expected (https://www.mycommunitycc.com/),TCM Bank (cards); self commercial loans,Branch/Online,$891M,TCM caveat: decision is TCM's — branch-ask first,Not slotted — see 1B footnote (TCM-issued; branch-ask),Unknown
