"1B. FUNDING BY BUREAU — sprint plan (v7.2 2026-06-11, BUREAU-STRATEGY) — batch applications by the personal bureau each lender hard-pulls; sets of 3 per bureau"
"HOW-TO: Work ONE bureau per sprint, in sets of 3 (Set 1 = top 3); FREEZE the other two bureaus during the sprint; open Chex-sensitive deposit accounts BEFORE inquiry-stacking (Chex/EWS cannot be frozen usefully); the NO-PULL lane runs anytime. Color key = README: GREEN favorable / AMBER verify / RED blocker / BLUE = clickable link."
Set,Pick #,Institution,Bureau evidence grade,Limit (stated/est),No-doc,Chex/EWS blocker,Gates (TIB/membership/deposit-first),Apply,Nearest (mi or Online),Next action,Source link
EQ Set 1,1,PNC BusinessOptions / BLOC (soft-EQ lane) (https://www.pnc.com/en/small-business/borrowing/business-credit-cards.html),"SOFT EQ ×3 DPs (""only a soft pull... it was Equifax""; ""unfreeze Equifax for the underwriter"") [CONSUMER-PROXY] — the EQ sprint can be SOFT!",$25K–$100K soft-pull band (myFICO 6589727),"Y — soft-pull path, no tax returns",⚠ Same PNC EWS sensitivity as above — PNC deposit acct opened in pre-work covers it,Unfreeze EQ for the underwriter (soft); no hard inquiry if approved on this lane,Online,Online (CA footprint thin),Lead the EQ sprint with this — costless if it stays soft,myFICO 6589727 (soft-EQ BusinessOptions DPs) (https://ficoforums.myfico.com/t5/Business-Credit/PNC-119K-in-Approvals/td-p/6509179)
EQ Set 1,2,First Citizens (https://www.firstcitizens.com/small-business/credit-financing/credit-cards),"Tri-bureau blend incl EQ + biz bureaus ($20K Low Interest biz CC approval, FCB employee: pulls ALL THREE) [BIZ-DP] — mentor AGREES-WEAKLY",$20K SL DP (branch + biz checking),Partial — no tax returns but branch+relationship gated,Chex tolerant (sensitive only ~32+/12mo); REPORTS to EWS,Deposit-first: biz checking at LB branch before card,Branch,LB 2.82 mi (branch-apply only),Open biz checking in pre-work; ask: tri-merge or single-bureau in CA?,myFICO 6704468 ($20K FCB approval thread) (https://ficoforums.myfico.com/t5/Business-Credit/20k-First-Citizens-Low-Interest-Business-CC-approval/td-p/6704468)
EQ Set 1,3,California Credit Union (https://www.ccu.com/business),"EQ = mentor claim, UNVERIFIED [MENTOR-ONLY] — zero public DPs; CA league platforms often TU (would contradict)",N/M — no limit DP,Unknown — ask at application,"⚠ Chex-SENSITIVE (DoC sensitive list; ×4 flags) — open deposit EARLY while Chex clean, or SKIP",Membership (CA-only); deposit early or skip entirely,Branch,LA-based (CA-only),Decide in pre-work: open deposit now or drop; ask bureau at app,DoC: Chex inquiry-sensitive list (https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/)
EQ REFERENCE-ONLY,—,KeyBank (https://www.key.com/small-business/banking/credit-cards/business-credit-card-faq.html),EQ well-supported [CONSUMER-PROXY: Latitude EQ + personal LOC EQ] — but ⚠ NO CA FOOTPRINT (DoC state lists exclude CA); CA applicant may be ineligible,N/M,Unknown,"⚠ Not actionable from CA — reference row only, do NOT spend an EQ slot here",Geography gate: no CA branches,n/a,No CA footprint,Keep as evidence anchor for EQ only; revisit if footprint changes,thecreditpeople: banks that pull Equifax (https://www.thecreditpeople.com/bureaus/which-banks-pull-from-equifax)
⬜ BRANCH-VERIFY / UNKNOWN — ask the bureau at application; each row slots into ANY sprint once answered
ASK Set 1,1,California Bank & Trust (CB&T) (https://www.calbanktrust.com/business/business-credit-cards/),BRANCH VERIFY [UNKNOWN] — zero applicant DPs ever (mentor AGREES); Zions UT DPs would likely transfer,Advertised up to $250K (AmaZing),Y — no tax-return req advertised,"Chex yes (Zions deposit agreement), no sensitivity DP",None — biggest advertised limit in the workbook; 0.12 mi from WTC,Online/Branch,LB 0.12 mi,"Walk in at 444 W Ocean Blvd, ask the bureau, then slot into that sprint",myFICO 1835533 (Zions bureau question) (https://ficoforums.myfico.com/t5/Credit-Cards/Anyone-with-experience-Zion-Bancorp/td-p/1835533)
ASK Set 1,2,Enterprise Bank & Trust (https://www.enterprisebank.com/business/credit-cards),NO-DATA [UNKNOWN] — DP desert; FIS rails verified; Elan attributions are name-twins (do not apply),~$50K claimed via broker channel (UNVERIFIED),Partial — terms unpublished; RM-flex,Chex/EWS unknown (absent from DoC lists),RM channel — get WRITTEN terms (incl. bureau) before any pull,RM,8 SoCal branches (Cerritos/DTLA/Anaheim),Email RM jmorrow@ / (833) 896-2850: written terms + which bureau,enterprisebank.com biz cards (https://www.enterprisebank.com/business/credit-cards)
ASK Set 1,3,Rize CU (ex-SCE FCU) (https://rizecu.com/business-visa/),UNKNOWN — ask at app; likely self-issued (no agent tells),$5K–$50K published,"Partial — ""speak with a loan consultant""",Chex unknown — verify on the same call,Membership (ACC join from both addresses),Phone/branch,Ontario 7.88 mi (Fontana),Call 800-866-6474: bureau + issuer + Chex + docs — one call answers all four,rizecu.com Business Visa page (https://rizecu.com/business-visa/)
ASK Set 2,4,Banc of California (https://bancofcal.com/payment-solutions/business-credit-cards/),Elan-variable: same applicant pulled EQ then EX (myFICO 6244031/6379773) [COMMUNITY-DP] — bureau roulette,"~$3K–$10K start, ~$20K strong (Elan)","Y — PG, no tax returns <$25K",Chex yes (weak source — verify); Elan biz cards do an EWS inquiry (US Bank & Elan DP),None; in-building (0.0 mi WTC); best 0% (20 cycles),Online,LB 0.0 mi; Fontana 7.80 mi,Wildcard for any sprint — accept the Elan roulette only when all 3 thawed or post-sprint,myFICO 6244031 (Elan credit pulls thread) (https://ficoforums.myfico.com/t5/Business-Credit/Elan-Financial-Credit-Pulls/td-p/6244031)
ASK Set 2,5,Valley Strong CU (https://www.valleystrong.com/business-platinum-credit-card),"UNKNOWN bureau; membership = SOFT pull (DoC, CA select counties) — cheapest CU to stage","Unpublished (""high spending limits"") — phone screen",Partial — docs unpublished,Chex unknown — ask on the screen call,"Membership soft-pull (online join, FFA route) — join costs nothing on any bureau",Online,Online join from both addresses,"PHONE SCREEN: bureau + limits + docs + Chex; join now (soft), card after answer",valleystrong.com Business Platinum (https://www.valleystrong.com/business-platinum-credit-card)
ASK Set 2,6,Western Alliance / Torrey Pines Bank (https://www.westernalliancebancorporation.com/small-business/credit-cards),"Mentor: TU — NO-DATA [MENTOR-ONLY]; in-house cards via Torrey Pines Bank (CA brand), banker-driven",N/M — banker-driven,Unknown — banker-driven UW,Chex/EWS unknown,RM/banker channel,RM,CA brand = Torrey Pines Bank,"Ask banker pre-app; if TU confirmed, slot into TU Set 2",WAB small-business credit cards (https://www.westernalliancebancorporation.com/small-business/credit-cards)
ASK Set 3,7,WaFd Bank (https://www.wafdbank.com/personal-banking/credit-cards/cash-back-credit-card-faq),"Mentor: TU — NO-DATA [MENTOR-ONLY]; real biz Visa DP exists ($15K @ 13.99%, myFICO 6674742) but bureau unreadable w/o login",$15K DP (2023-05-06),"Partial — ""underwriting based on your personal credit"" (site)",Chex/EWS unknown,"⏳ Apps paused til 6/30 — re-check after 6/30, then ask bureau",Online/Branch,"WA-based, CA branches",After 6/30: read myFICO 6674742 logged-in (HIGH-VALUE) + ask at application,myFICO 6674742 ($15K WaFd biz Visa DP) (https://ficoforums.myfico.com/t5/Business-Credit/WaFd-Business-Visa/td-p/6674742)
ASK Set 3,8,F&M Bank Long Beach (https://www.fmb.com),Elan-variable (TU-lean; EX/EQ seen) [COMMUNITY-DP] — same roulette as Banc of California,~$3K–$10K start (Elan platform),"Y — PG, no tax returns <$25K",Chex/EWS unknown,None; relationship LOC alternative at branch,Online,LB 0.47 mi (302 Pine Ave),Elan roulette — treat like BofCal; or branch relationship LOC instead,myFICO 6658960 (Elan limits DPs) (https://ficoforums.myfico.com/t5/Business-Credit/Elan-Financial-Credit-Pulls/td-p/6244031)
ASK Set 3,9,City National Bank (https://www.cnb.com/business-banking/lending/credit-cards/commercial-credit-cards.html),EX (personal Crystal proxy) [CONSUMER-PROXY]; commercial card bureau N/M,Commercial Visa — relationship-based limits,N — full-doc (PFS + tax returns),Chex yes (not sensitive; WV name-conflation flagged),RM relationship required; full-doc,Branch/RM,LB 0.09 mi; Ontario 7.91 mi,Only with an RM relationship; ask bureau then — low priority,cnb.com commercial cards (https://www.cnb.com/business-banking/lending/credit-cards/commercial-credit-cards.html)
ASK Set 4,10,Banner Bank (https://www.bannerbank.com/business-solutions/services/small-business-credit-cards),Mentor: TU — NO public DP [MENTOR-ONLY]; app PDF confirms hard pull on guarantor AND that the bank will DISCLOSE the bureau on request,"N/M — 0% 12mo, $0 AF",N — full PG underwrite (Tax ID + revenue + guarantor),⚠ Chex SENSITIVE — QualiFile AUTO-DENY (BLOCKER); BankOn acct = fallback,Clean Chex required first,Branch (PDF app),RC 5.37 mi (Fontana side),"Ask them to disclose the bureau (they will), THEN decide which sprint",bannerbank.com biz cards (app PDF) (https://www.bannerbank.com/business-solutions/services/small-business-credit-cards)
ASK Set 4,11,Southland CU (https://www.southlandcu.org/borrow/credit-cards/),UNKNOWN bureau; biz credit card UNVERIFIED (consumer cap published),$25K max unsecured (consumer cap),Partial — biz account app PDF published,⚠ Chex CONFIRMED — own FAQ (BLOCKER); clean Chex required,Membership; phone-confirm biz card exists before anything,Branch,LB 1.14 mi (1050 Linden Ave),Phone-confirm biz CC exists + bureau; only with clean Chex,southlandcu.org FAQ (Chex confirmed) (https://www.southlandcu.org/faq/)
🟪 NO-PULL / ANYTIME LANE — zero bureau cost; run in parallel with every sprint
ANY,1,Ramp (https://ramp.com),"NONE — no personal credit check [VERIFIED]; EIN-only, NO PG; balance-based UW",~10–20% of linked business cash; needs ≥$25K balance,Y — bank-link IS the underwriting,None (fintech KYC) — no Chex/EWS/bureau,≥$25K business balance,Online,Online (national),"Layer now — costless, no pull, start of pre-work",ramp.com (https://ramp.com)
ANY,2,Mercury IO (https://mercury.com/credit),NONE — no credit check [VERIFIED]; balance-based,~$5K intro; $15K+ kept at Mercury unlocks more,Y — no docs,None (fintech KYC); doubles as EWS-clean operating account,Mercury checking first,Online,Online (national),Open Mercury checking in pre-work; IO in-dashboard,mercury.com/credit (https://mercury.com/credit)
ANY,3,BILL Spend & Expense (Divvy) (https://www.bill.com/product/spend-and-expense),No hard personal pull reported [COMMUNITY-DP]; ⚠ PG status CONFLICTING — VERIFY in writing before relying on no-PG,$20K–$50K common w/ real balance (Nav),Y — bank-link UW,No traditional Chex; unknown otherwise,Park a real balance first,Online,Online (national),Apply after parking balance; document the PG answer,bill.com Spend & Expense (https://www.bill.com/product/spend-and-expense)
ANY,4,Sam's Club Business MC — in-club EIN-only path (https://www.samsclub.com/credit),EIN-only path: NO personal pull [COMMUNITY-DP]; PG path = Synchrony HP (avoid),$8K–$10K instant; $30K via CLIs (myFICO 6701656),Y — EIN-only w/ established D&B file,"Unknown — in-club app, no deposit product",D&B file must be built first,In-club,Clubs across IE/LA,"Build D&B file, then in-club EIN-only app — refuse the PG screen",samsclub.com/credit (https://www.samsclub.com/credit)
ANY,5,Amex existing-member soft path (cross-ref EX Set 1 #1) (https://www.doctorofcredit.com/amex-credit-card-approvals-without-hard-pull/),"If you ALREADY hold any Amex card, new biz cards usually approve on a SOFT pull — effectively a no-pull lane [COMMUNITY-DP]",Same bands as EX Set 1 #1 ($6K–$20K; NPSL to $250K),"Y — PG, no tax returns",None for the card,Existing Amex membership,Online,Online (national),If member: take this lane ANYTIME and free the EX Set-1 slot for another EX target,DoC: Amex approvals without hard pull (https://www.doctorofcredit.com/amex-credit-card-approvals-without-hard-pull/)
FOOTNOTE — Tab-1 institutions NOT slotted above (reason given; nothing dropped silently):
NOT SLOTTED,,Comerica → Fifth Third (CA) (https://www.comerica.com/small-business/banking-and-services/financing.html),"Elan-variable bureau + branches mid-conversion to Fifth Third (2026-02) — verify onboarding at the ex-Comerica branch, then treat as an ASK row (Elan roulette)."
NOT SLOTTED,,Arrowhead CU (https://www.arrowheadcu.org/arrowhead-visa),NO business card (business = loans/SBA/CRE only) — not a card-sprint play; SBA/LOC backup lane.
NOT SLOTTED,,CU SoCal (https://www.cusocal.org/cards/credit-card/),"NO business card + MOST Chex-inquiry-sensitive find (denied at 3 inquiries/6mo) — deposit pre-work decision only, never a sprint row."
NOT SLOTTED,,Chino Commercial Bank (https://www.chinocommercialbank.com),"NO card (unsecured biz LOC only, limits unpublished) — LOC backup, outside the card-sprint system."
NOT SLOTTED,,American Plus Bank dba ICB (LB) (https://bankaplus.com/Credit-Cards),TCM-issued; pull not published (TCM ≈ EX per stacking.capital) — branch-ask; joins the EX sprint only if TCM/EX confirmed.
SPRINT ORDER RECOMMENDATION
"0. PRE-WORK (deposits, weeks 0–2, BEFORE any inquiry-stacking): open Chex-sensitive memberships/deposits while the Chex file is clean — Premier America (3/90d), California CU (open-or-skip decision), CU SoCal only if a deposit there matters; open the PNC deposit acct BEFORE stacking Chase/BofA/Wells EWS inquiries (EWS keeps ~1yr and CANNOT be frozen); open BMO + U.S. Bank biz deposit accts (relationship-first lenders); park operating cash at EWS-clean BCU/Skyla/Mercury. Start the Stanford $5 membership CLOCK on day 0.",,,,,,,,,,,source (https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/)
"NO-PULL LANE (anytime, start today): Ramp + Mercury IO + Sam's Club EIN path — zero bureau cost; BILL/Divvy after the PG answer is documented.",,,,,,,,,,,source (https://ramp.com)
"SPRINT A = EXPERIAN Set 1 (Amex → FNBO pre-qual → Chase Ink): best evidence + biggest stated limits; thaw EX, freeze TU+EQ (thaw EQ only for the Chase app — dual-pull risk).",,,,,,,,,,,source (https://www.doctorofcredit.com/knowledge-base/which-credit-bureau-does-chase-pull/)
"SPRINT B = TRANSUNION Set 1 (BMO → U.S. Bank Triple Cash + CFM → BCU): deposit accts from pre-work now seasoned; thaw TU, freeze EX+EQ, AND freeze SageStream+ARS; do BCU join+card inside its 30d window.",,,,,,,,,,,source (https://www.doctorofcredit.com/two-credit-bureaus-you-should-freeze-before-you-apply-for-a-u-s-bank-credit-card/)
"SPRINT C = EQUIFAX Set 1 (PNC BusinessOptions soft-EQ → First Citizens branch → California CU if kept): cheapest sprint — mostly soft/branch; thaw EQ, freeze EX+TU.",,,,,,,,,,,source (https://ficoforums.myfico.com/t5/Business-Credit/PNC-119K-in-Approvals/td-p/6509179)
SPRINT D = EXPERIAN Set 2 (BofA → PNC std card only if soft-EQ lane failed → Wells): re-thaw EX; by now branch-verify answers (CB&T/Rize/Enterprise/Banner) slot into whichever sprint their bureau matches.,,,,,,,,,,,source (https://www.doctorofcredit.com/credit-bureau-bank-america-pull/)
SPRINT E+ = EX Set 3 (Premier America card on the pre-work membership → SDCCU join+card same window → Kinecta) and TU Set 2 (UMB → Skyla) as files cool down (~90d spacing between sprints on the same bureau).,,,,,,,,,,,source (https://ficoforums.myfico.com/t5/Credit-Cards/San-DIego-County-Credit-Union-SDCCU-Does-anyone-have-any-DP-s-or/td-p/6761567)
FREEZE/THAW RULE: during any sprint exactly ONE bureau is thawed (plus the noted exceptions); re-freeze at sprint end before branch-verify calls; Chex/EWS freezes do NOT protect you at EWS banks — sequence is the only defense there.,,,,,,,,,,,source (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/)
"CLOCK ROWS run in the background from day 0: Stanford FCU (6-mo seasoning + 2yr TIB) and LAFCU (2yr TIB + clean Chex) are calendar plays, never set picks.",,,,,,,,,,,source (https://www.sfcu.org/business/business-credit-card)
