Institution,CFPB_status,Corroboration_note,PG_policy(+source),CLI_policy(+source),Material_flags,Source_links,Date
FIVE STAR BANK,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.","PG not published (commercial Corporate Card Program, relationship-based). CAUTION: namesake Five Star Bank (Warsaw NY, five-starbank.com) uses Elan for consumer cards — do not conflate; CA bank (fivestarbank.com) names no issuer on live page. [2026-06-12]",CLI: not published.,Namesake caution: NY Five Star Bank (five-starbank.com) discloses Elan as consumer-card issuer; our CA Five Star Bank (fivestarbank.com) names no issuer live. SELF call rests on relationship-based Corporate Card Program — unconfirmed. https://www.fivestarbank.com/credit-cards,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.fivestarbank.com/credit-cards,2026-06-12
BANK OF STOCKTON,PRESENT,"TENSION (medium): we call Elan for business, yet Bank of Stockton IS a CFPB issuer of record filing own-name consumer agreements. Not critical (CFPB DB = consumer cards; Elan call = business portal), but dual-program needs verification. Match: exact.",,,"TENSION (medium): CFPB lists Bank of Stockton as issuer of record (own-name consumer Credit Card Agreement + Secured, scanned PDFs) while our business-card call is Elan (mycardapply.com portal). Likely dual program: in-house consumer + Elan business. Verify before relying on Elan call. https://www.consumerfinance.gov/credit-cards/agreements/issuer/bank-of-stockton/",https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
VALLEY STRONG CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
ROYAL BUSINESS BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
First Bank,ABSENT,"CFPB ""FIRST BANK"" is the North Carolina First Bank (agreement governing law: North Carolina), NOT our St. Louis First Bank — treated as ABSENT. Absence consistent with de-minimis exemption (<10,000 open consumer accounts); CFPB DB covers consumer agreements only, so no contradiction with our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
BANK OF THE SIERRA,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
Banner Bank,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
Sunwest Bank,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
MidFirst Bank,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",PG not published live for business cards. [2026-06-12],CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.midfirst.com/,2026-06-12
COAST CENTRAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
Valley National Bank,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
COMMONWEALTH BUSINESS BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
MONTERRA CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
SIERRA CENTRAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
"UMB Bank, National Association",PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact (listed as UMB Bank).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
SESLOC CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
UNIVERSITY CREDIT UNION,ABSENT,"CFPB ""UNIVERSITY CREDIT UNION"" is the Maine entity (agreement governing law: Maine), NOT our Los Angeles UCU — treated as ABSENT. Absence consistent with de-minimis exemption (<10,000 open consumer accounts); CFPB DB covers consumer agreements only, so no contradiction with our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
SUN COMMUNITY FEDERAL CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
ENDEAVOR BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
USC CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
FIRST PACIFIC BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
"City First Bank, National Association",ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
BEACH CITIES COMMERCIAL BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
Bank of Guam,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
"Wells Fargo Bank, National Association",PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.","PG YES (verbatim, Signify agreement eff. 3/31/2026): ""The Account Guarantor agrees to take full responsibility, along with the business, for paying off all amounts you owe on this Account, even if the business receives more credit in the future""; WF ""does not have to proceed against your business or anyone else before proceeding against the Account Guarantor"". [2026-06-12]","CLI (verbatim): ""We can adjust your Credit Limit at any time, including automatically increasing your Credit Limit if you qualify"" — auto-CLI; DoC: mostly soft pulls, a few hard-pull reports. [2026-06-12]",SBFE signal: Signify application terms state business reporting via Small Business Financial Exchange. https://www.wellsfargo.com/biz/business-credit/credit-cards/signify-business-cash-credit-card-terms-conditions/,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.wellsfargo.com/biz/business-credit/agreements/signify-business-cash-agreement/; https://www.doctorofcredit.com/credit-cards/which-credit-card-companies-do-a-hard-pull-for-a-credit-limit-increase/,2026-06-12
CITY NATIONAL BANK,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact; entity VERIFIED ours via agreement payment address PO Box 54830 Los Angeles CA + CA governing law + cnb.com/cashback.","PG not published — business/commercial cards are relationship-managed: requires Business Lending Application + Personal Financial Statement + Single Name Aggregate Exposure Report via Relationship Manager (PG implied by PFS requirement, not verbatim). [2026-06-12]",CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.cnb.com/business-banking/lending/credit-cards.html,2026-06-12
BMO Bank National Association,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.","PG YES (verbatim, BMO Business Cardholder Agreement PDF): applicants ""personally guarantee payment of any and all obligations under this Agreement or any subsequent agreement governing the Account"". [2026-06-12]",CLI: not published for business.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.bmo.com/en-us/pdf/credit/BCagreement.pdf,2026-06-12
MECHANICS BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,Merger with HomeStreet completed 9/2/2025 (~$22B combined); systems integration expected Q1 2026. https://www.mechanicsbank.com/about-us/who-we-are/news-press/2025-news-articles/mechanics-bank-completes-strategic-merger-with-homestreet-inc/,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
"CITIZENS BUSINESS BANK, NATIONAL ASSOCIATION",ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
TRI COUNTIES BANK,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.","PG YES (verbatim, Business Credit Card Application BCC-301): ""Guarantors unconditionally and irrevocably guarantee in their individual capacity payment... of any and all present and future amounts owed to the Bank""; guarantors waive notice/protest and right to require Bank to proceed against Company first. Business Cardholder Agreement makes guarantor-ability impairment an event of default. [2026-06-12]",CLI: agreement says posting an over-limit transaction does not waive/increase the Credit Limit; no published CLI request channel. [2026-06-12],,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.tcbk.com/assets/files/SvFdLACH/Small-Business-Credit-Card-Application-Form.pdf; https://tcbk.com/business/credit-cards/agreement,2026-06-12
"PNC Bank, National Association",PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.","PG YES — PNC business card Summary of Account Terms: company and applicant are ""jointly and severally liable"" for all transactions (applicant personally liable for all amounts due). [2026-06-12]","CLI: not published for business; personal CLI historically hard at PNC (forum DPs, unverified). [2026-06-12]",,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.pnc.com/content/dam/pnc-com/pdf/smallbusiness/CreditCards/Rates-Visa-Business.pdf,2026-06-12
HANMI BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,"PROGRAM-CHANGE SIGNAL: live hanmi.com business-cards page (fetched 2026-06-12) = Elan suite (Zero+/Real Rewards/Cash Preferred/Smart Business Rewards), but search-indexed version of same URL describes World/World Elite business cards ""issued by Fifth Third Bank, National Association"" w/ 50K-pt bonus; Fifth Third+Brex commercial-card partnership announced 12/9/2025. Monitor for Elan->Fifth Third migration. https://www.hanmi.com/business/business-credit-cards/; https://www.brex.com/journal/press/brex-announces-partnership-with-fifth-third-bank",https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
FREMONT BANK,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.","PG not published live (Business Platinum/World Elite MC pages silent; ""subject to credit approval, ask for details""). [2026-06-12]",CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.fremontbank.com/business/credit,2026-06-12
WESTAMERICA BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
SAFE CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",PG YES per prior-session app materials (explicit PG + financials on request); not re-verified live today. [2026-06-12],CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.safecu.org/,2026-06-12
"Citizens Bank, National Association",PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",PG not published live on Everyday Points/Cash Back Plus business MC pages. [2026-06-12],CLI: not published for business.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.citizensbank.com/small-business/business-credit-cards/overview.aspx,2026-06-12
BANK OF MARIN,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
NUVISION FEDERAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,"See Kinecta flag — pending NCUA merger application between the two (filed 2024, status unresolved as of 2026-06-12). https://www.prnewswire.com/news-releases/kinecta-federal-credit-union-and-nuvision-federal-credit-union-file-merger-application-with-ncua-123256923.html",https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
"Flagstar Bank, National Association",ABSENT,"Absent — fully consistent with our FNBO call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
PCB BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
ORANGE COUNTY'S FEDERAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: name variant (listed as ORANGE COUNTYS CREDIT UNION; agreement header ORANGE COUNTY'S CREDIT UNION).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
ALTURA FEDERAL CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
FIREFIGHTERS FIRST FEDERAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
MONTECITO BANK & TRUST,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
FIRST NORTHERN BANK OF DIXON,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
MISSION BANK,ABSENT,"Absent — fully consistent with our TCM call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
SAN FRANCISCO FIRE CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
VENTURA COUNTY CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
STATE BANK OF INDIA (CALIFORNIA),ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
RIZE FEDERAL CREDIT UNION,ABSENT,Absent — no CFPB signal either way for UNKNOWN underwriter; consistent with agent-issued or de-minimis.,,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
VALLEY FIRST FEDERAL CREDIT UNION,PRESENT,"Issuer of record for consumer cards in own name — upgrades UNKNOWN toward SELF; no third-party creditor named in filed agreement. Match: present (listed as VALLEY FIRST FEDERAL CREDIT UNION; filed agreement names ""Valley First Credit Union"" = Modesto entity).",,,UNKNOWN->SELF upgrade signal: CFPB-filed consumer agreement is in Valley First CU's own name (TruStage/CUNA boilerplate) — self-issuer of record for consumer cards. https://www.consumerfinance.gov/credit-cards/agreements/issuer/valley-first-federal-credit-union/,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
AMERICA'S CHRISTIAN CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
UNCLE CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
EXCITE CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
Amalgamated Bank,ABSENT,"Absent — fully consistent with our FNBO call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
"Sunflower Bank, National Association",ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,"First Foundation Bank merged INTO Sunflower Bank, N.A. 4/1/2026 (FirstSun/First Foundation); system changes through Q3 2026. https://ir.firstsuncb.com/news/news-details/2026/FirstSun-Capital-Bancorp-and-First-Foundation-Inc--Complete-Merger/default.aspx",https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
INTERFAITH FEDERAL CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
SLO CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
"JPMorgan Chase Bank, National Association",PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.","PG YES — Chase's own education page: ""many business credit cards, including the Chase Ink credit cards, require both joint and several liability"". [2026-06-12]","CLI: HARD pull — ""if you the card holder initiate a credit limit increase, it will always result in a hard pull with Chase"" (Doctor of Credit); soft only if pre-approved in app. [2026-06-12]",,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.chase.com/personal/credit-cards/education/basics/what-is-a-personal-guarantee-on-a-credit-card; https://www.doctorofcredit.com/credit-cards/which-credit-card-companies-do-a-hard-pull-for-a-credit-limit-increase/,2026-06-12
"Citibank, National Association",PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact (listed as CITIBANK, N.A.).","PG: TWO liability types on Citi/AAdvantage Business World Elite MC — owner+business liable (PG) OR corporate-only liability (""The business is liable for paying charges on the account"") — a documented no-PG path. [2026-06-12]","CLI: Citi mixed — instant decision = soft pull, delayed decision = hard pull (Doctor of Credit). [2026-06-12]","Citi rebuilt consumer lineup into Strata family (Strata 5/2025, Strata Elite 7/2025); business lineup remains co-brand-heavy; AAdvantage Business offers corporate-liability (no-PG) option. https://www.citigroup.com/global/news/press-release/2025/citi-launches-citi-strata-elite-credit-card",https://www.consumerfinance.gov/credit-cards/agreements/; https://creditcards.aa.com/credit-cards/corporate-guarantee/; https://www.doctorofcredit.com/credit-cards/which-credit-card-companies-do-a-hard-pull-for-a-credit-limit-increase/,2026-06-12
BANC OF CALIFORNIA,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
Western Alliance Bank,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",PG conditional per prior-session banker-facing materials (financials at banker discretion); nothing published live. [2026-06-12],CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.westernalliancebancorporation.com/,2026-06-12
