Institution,Rank,Prior_Chex,New_Chex_finding,Chex_business_specific,Prior_EWS,New_EWS_finding,Leniency_note,Source_links,Notes
FREMONT BANK,43,"Yes — SENSITIVE (DoC sens page: declined 10/12mo)","NOTHING NEW — 2026-06-12 search: no second source found (fremontbank.com silent; no Crediful page, no forum DPs); single-source cell stands","Business: biz checking pages silent on screening vendor",UNKNOWN,"NOTHING NEW — UNKNOWN stands","Sensitive: declined with 10 inquiries in past 12 months (DoC)",https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,"Second-source attempt failed; still single-source."
Enterprise Bank & Trust,47,"UNKNOWN (searched 2026-06-10 and -11, no data)","NOT RE-SEARCHED — two prior sweeps found nothing; UNKNOWN stands","Business: RM-channel onboarding, no online opener",UNKNOWN,"UNKNOWN stands","—",https://www.enterprisebank.com/disclosures,"Deprioritized (already double-searched)."
TRAVIS CREDIT UNION,50,"Yes — pulls (DoC 1 DP)","SECOND-SOURCE ATTEMPT FAILED: 2026-06-12 search surfaced only a NAME-TWIN (unchex.com 'United Heritage CU' serving Travis County TX — NOT Travis CU Vacaville); discarded; single-DP cell stands","Business: sole-prop vs LLC/corp distinction exists for cards; deposit-screen not distinguished",UNKNOWN,"NOTHING NEW — UNKNOWN stands","—",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,"Twin-trap documented to prevent future false match."
BANK OF STOCKTON,59,UNKNOWN,"UPGRADE to VERIFIED: own CCPA disclosure: 'Depending on the products or services you requested, some PI may be verified or provided by a consumer reporting service, such as ChexSystems, credit bureaus, or identity verification services' — names ChexSystems as verification source [VERIFIED (own doc); fetched 2026-06-12]","Business: CCPA language is consumer-scoped; biz accounts not addressed","UNKNOWN","NEW: EWS NOT mentioned in CCPA disclosure (lean-no, weak — privacy doc not deposit agreement) [VERIFIED-absence; 2026-06-12]","Conditional wording ('depending on products') — Chex use likely product-dependent",https://bankofstockton.com/consumer-privacy-act-disclosure,"UPGRADE UNKNOWN -> Chex named in own doc."
BANK OF MARIN,63,UNKNOWN,"UPGRADE to VERIFIED: own Deposit Account Disclosure (DOF-DADS, final 2017-02-15, 26pp): screening = 'inquiries... verification of employment, credit, or other reports from account information services and consumer reporting agencies' (vendor unnamed) BUT 'If we close your account because of unsatisfactory account history or suspected illegal activity... we generally report to ChexSystems' + Chex dispute channel (chexhelp.com) [VERIFIED (own doc); fetched 2026-06-12]","Business: disclosure covers deposit accounts generally; no biz carve-out seen","UNKNOWN","NEW: 0 'Early Warning' hits in own 26-pg disclosure — lean-no [VERIFIED-absence; 2026-06-12]","Reports closures to Chex; inquiry-side vendor unnamed (generic CRA) — moderate risk",https://www.bankofmarin.com/wp-content/uploads/2018/03/Checking-and-Savings-Disclosure-Final-02_15_2017.pdf,"UPGRADE UNKNOWN -> Chex-reporter VERIFIED; screening generic-CRA. Doc is 2017 — may be stale."
PROVIDENT CREDIT UNION,69,"Yes — VERY SENSITIVE (DoC does pull x3; sens page)","No change — prior already 3 DPs + sens page","Business: share-secured biz Visa exists (qualify w/o credit history) — suggests second-chance posture on CREDIT side; deposit screen still Chex",UNKNOWN,"NOTHING NEW — UNKNOWN stands","VERY Chex-inquiry-sensitive — open FIRST or skip",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,"Prior adequate."
"Flagstar Bank, National Association",72,"Yes — pulls (DoC 1 DP)","UPGRADE: second source — Crediful (updated 2025-10-07): 'Flagstar Bank does use ChexSystems when reviewing new checking account applications' [COMMUNITY-DP secondary; 2025-10-07]","Business: not distinguished; biz cards via FNBO (separate underwriter)",UNKNOWN,"NOTHING NEW — Crediful page silent on EWS; UNKNOWN stands","NYCB-family sensitivity: declined with 12 in last 24 months (DoC sens page)",https://www.crediful.com/chexsystems/flagstar-bank/,"Single-source -> double-sourced."
EXCHANGE BANK,78,UNKNOWN,"NOTHING NEW — 2026-06-12 search: no vendor named anywhere public (Yelp/LinkedIn/locator noise only); UNKNOWN stands","Business: UNKNOWN",UNKNOWN,"NOTHING NEW — UNKNOWN stands","—",https://www.exchangebank.com/,"Ask at opening."
ORANGE COUNTY'S FEDERAL CREDIT UNION,80,"Yes — pulls (DoC 1 DP + Davis 2021)","No change — prior dual-source stands","Business: biz MC exists but low-visibility; deposit-screen not distinguished","Yes — pulled EWS (Davis 2021-05-26)","No change — stands (DP is 2021, aging but unrefuted)","Pulls BOTH Chex and EWS — high-friction; open early",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,"Prior adequate."
Sunwest Bank,83,"UNKNOWN (searched x2; site 403s; 'early warning' text on site = fraud-alert copy not EWS agency)","NOT RE-SEARCHED — two prior sweeps; UNKNOWN stands","Business: online biz opener exists (EIN+docs) but vendor undisclosed",UNKNOWN,"UNKNOWN stands","—",https://www.sunwestbank.com/,"Deprioritized."
BENEFICIAL STATE BANK,109,"Lean-NO — own Personal AND Business Deposit Agreements name NO vendor (VERIFIED-absence 2026-06-11)","No change — fresh own-doc absence finding from 2026-06-11 stands","Business: YES-specific — own BUSINESS Deposit Agreement (9pp) has only generic credit-verification clause, no Chex/QualiFile/EWS","Lean-NO (0 EWS hits both docs)","No change — stands","Likely-no-Chex candidate (silver tier) — verify by phone before relying",https://www.beneficialstatebank.com/uploads/files/Personal-Deposit-Account-Agreement-and-Disclosure.pdf,"Prior verified yesterday; no rework."
CHRISTIAN COMMUNITY CREDIT UNION,125,"Yes — pulls (DoC 5 DPs); INQUIRY-SENSITIVE (denied at 26+)","No change — multi-DP cell stands","Business: biz/nonprofit checking offered via AdelFi; deposit-screen not distinguished","No — EWS-clean (2018 DP, no inquiry on open)","No change — 2018 DP aging but unrefuted","Chex-sensitive at high counts only (26+); EWS-clean",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,"Now branded AdelFi."
Western Alliance Bank,17,"Yes consumer (Crediful 2025-10-24); BUSINESS signer-auth via own DAA (generic CRA clause, vendor unnamed)","No change — prior is already dual-source (Crediful + own DAA eff. 2023-10)","Business: VERIFIED own DAA — consumer/credit reports may be pulled on any owner or AUTHORIZED SIGNER at application","Lean-no (0 EWS hits in 50-pg DAA)","No change — stands","No second-chance product",https://www.westernalliancebancorporation.com/sites/default/files/2024-01/wab-deposit-account-agreement-and-disclosure.pdf,"Prior adequate (refreshed 2026-06-11)."
"CITIZENS BUSINESS BANK, NATIONAL ASSOCIATION",24,"UNKNOWN — all online 'Citizens' DPs are NAME-TWINS (Citizens Bank RI/NM/GA)","NOT RE-SEARCHED — prior 2026-06-11 sweep exhaustively ruled out twins; UNKNOWN stands","Business: biz-first bank, RM channel; no vendor named",UNKNOWN,"UNKNOWN stands","—",https://www.cbbank.com/,"Twin-trap documented in prior; deprioritized."
SAFE CREDIT UNION,55,"Yes — SENSITIVE (DoC sens page: denied 25/24mo)","SECOND-SOURCE ATTEMPT WEAK: 2026-06-12 search found no independent confirmation (only generic myFICO threads, 403-blocked); single-source cell stands","Business: biz Visa requires explicit PG + financials (prior); deposit-screen not distinguished",UNKNOWN,"NOTHING NEW — UNKNOWN stands","Sensitive: denied with 25 Chex inquiries in past 24 months",https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,"myFICO thread 6588582 (CUs that pull Chex) 403-blocked — retry target."
STANFORD FEDERAL CREDIT UNION,61,"UNKNOWN — membership = hard EXPERIAN pull; Chex-specific use unconfirmed","NOTHING NEW — 2026-06-12: own identity-theft page RECOMMENDS members freeze Chex (fraud-prevention advice, NOT screening evidence); UNKNOWN stands","Business: biz checking 6-mo prereq for biz card; deposit-screen vendor unpublished",UNKNOWN,"NOTHING NEW — UNKNOWN stands","Known friction is the hard Experian pull at membership, not Chex","https://www.sfcu.org/identity-theft/","Do not over-read the ID-theft page; it is advice to members."
ROYAL BUSINESS BANK,66,UNKNOWN,"NOTHING NEW — 2026-06-12 search: no deposit agreement indexed, no DPs; UNKNOWN stands","Business: Chinese-American biz bank, RM channel",UNKNOWN,"NOTHING NEW — UNKNOWN stands","—",https://www.royalbusinessbankusa.com/,"Ask at opening."
BANK OF THE SIERRA,76,UNKNOWN,"UPGRADE: LetMeBank CA non-Chex page: Bank of the Sierra 'automatically runs a ChexSystems report if you apply online' but may bypass if applying IN-BRANCH [COMMUNITY-DP secondary, undated; fetched 2026-06-12]","Business: not distinguished in source",UNKNOWN,"NOTHING NEW — UNKNOWN stands","LENIENCY PATH: apply in-branch to potentially bypass the automatic online Chex run",https://letmebank.com/california-non-chexsystems-banks/,"UPGRADE UNKNOWN -> uses Chex online / in-branch flexible (secondary, undated — verify)."
OPEN BANK,87,UNKNOWN,"NOTHING NEW — 2026-06-12 search: myopenbank.com silent, no DPs; UNKNOWN stands","Business: Korean-American SBA-focused bank; prior biz no-doc language was for Elan cards not deposits",UNKNOWN,"NOTHING NEW — UNKNOWN stands","—",https://myopenbank.com/,"Ask at opening."
FIREFIGHTERS FIRST FEDERAL CREDIT UNION,91,"UNKNOWN (occupational closed SEG; searched 2026-06-10/11, no data)","NOT RE-SEARCHED — two prior sweeps; eligibility-gated anyway; UNKNOWN stands","Business: business membership prereq; full-doc credit side",UNKNOWN,"UNKNOWN stands","—",https://www.firefightersfirstcu.org/Resources/Become-A-Member/Membership-Eligibility,"Deprioritized (closed SEG)."
COAST CENTRAL CREDIT UNION,95,NOT IN PRIOR FILE (UNKNOWN),"TWIN-TRAP ONLY: 2026-06-12 search returned 'Coastal Credit Union' (NC) on DoC don't-pull list — NOT Coast Central (Eureka CA); discarded; UNKNOWN stands","Business: paper-app-to-branch channel (manual review likely)",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","—",https://www.coastccu.org/,"Twin documented. Ask at branch."
FIRST ENTERTAINMENT CREDIT UNION,103,NOT IN PRIOR FILE (UNKNOWN),"NEW VERIFIED: own FAQ (firstent.org/faq/8377): checking requirements = membership + First500 Savings AND 'Eligibility is based on Chexsystems qualification and requirements' [VERIFIED (own FAQ); fetched 2026-06-12]","Business: FAQ is consumer-checking scoped; biz accounts not addressed",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — no EWS mention anywhere; UNKNOWN stands","Chex is an explicit eligibility GATE for checking (no second-chance language found)",https://www.firstent.org/faq/8377/,"NEW institution-level find: UNKNOWN -> VERIFIED uses Chex."
FIRST NORTHERN BANK OF DIXON,105,UNKNOWN,"NOTHING NEW — 2026-06-12 search: no vendor named anywhere public; UNKNOWN stands","Business: UNKNOWN",UNKNOWN,"NOTHING NEW — UNKNOWN stands","—",https://www.thatsmybank.com/,"Ask at opening."
COMMONWEALTH BUSINESS BANK,107,UNKNOWN,"NOTHING NEW — 2026-06-12 search: cbb-bank.com silent, no DPs; UNKNOWN stands","Business: SMB-focused Korean-American bank, RM channel",UNKNOWN,"NOTHING NEW — UNKNOWN stands","—",https://www.cbb-bank.com/,"Ask at opening."
SAN FRANCISCO FIRE CREDIT UNION,114,NOT IN PRIOR FILE (UNKNOWN),"NEW (weak): DoC SF Fire checking-bonus page (offer 2023-08, page updated 2026-02-01): 'ChexSystems: Unknown' + 'Apparently they are ChexSystems sensitive (although this suggests otherwise)' + 'Soft pull' — conflicting reader DPs [DOC-LIST; 2023-2026]","Business: biz Platinum Visa exists; deposit-screen not distinguished",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — page silent on EWS; UNKNOWN stands","Soft credit pull at opening; Chex use disputed among readers — treat as possible-Chex",https://www.doctorofcredit.com/ca-sf-fire-credit-union-300-checking-bonus/,"Recorded as UNKNOWN-leaning-sensitive (conflicting)."
SIERRA CENTRAL CREDIT UNION,121,NOT IN PRIOR FILE (UNKNOWN),"NEW: BBB complaint + CU's own business response (2024-11-21): Sierra Central issued 'Adverse Action Notices with instructions for collecting more information about the identity theft flag on your ChexSystems report' — CU PULLS Chex and denies on Chex flags across branch + online channels [COMMUNITY-DP (BBB, CU's own response); 2024-11-21]","Business: complaint was consumer; biz not distinguished",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","Denies on Chex ID-theft flags until resolved; CIP-strict (proof of residency)",https://www.bbb.org/us/ca/yuba-city/profile/credit-union/sierra-central-credit-union-1156-27000678/complaints,"NEW: UNKNOWN -> pulls Chex (strong DP: CU's own written response)."
STATE BANK OF INDIA (CALIFORNIA),128,"Yes (DoC 1 DP, not sensitive) — CAUTION may be SBI NY twin","NOTHING NEW — 2026-06-12 search: sbical.bank silent on screening vendor; twin-ambiguity unresolved; cell stands with caution flag","Business: online biz opener exists; vendor unpublished",UNKNOWN,"NOTHING NEW — UNKNOWN stands","DoC entry not sensitive (approved with high counts) IF it is SBI CA",https://www.sbical.bank/Open-New-Account.aspx,"Twin-ambiguity (SBI NY vs CA) still open."
SESLOC CREDIT UNION,134,NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — 2026-06-12: SESLOC publishes an EDUCATIONAL article about Chex reports (sesloc.org blog) but that is NOT screening evidence; no vendor named in account docs; UNKNOWN stands","Business: biz services page silent",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","—",https://www.sesloc.org/surprising-ways-your-credit-report-is-used/,"Educational-content trap noted; do not over-grade."
HONDA FEDERAL CREDIT UNION,141,NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — 2026-06-12 search: hondafcu.org FAQ/membership pages silent on Chex; no DPs; UNKNOWN stands","Business: SEG-gated (Honda family); biz Visa exists per disclosures",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","—",https://www.hondafcu.org/membership/become-member,"Closed SEG; ask at onboarding."
VALLEY FIRST FEDERAL CREDIT UNION,149,NOT IN PRIOR FILE (UNKNOWN),"NEW: HustlerMoneyBlog bonus fine print (updated 2024-03-26) for BOTH $200 consumer and $500 BUSINESS bonuses: 'New accounts subject to ChexSystems.' — likely copied from CU's own offer disclosure [secondary; 2024-03-26]","Business: YES — the $500 BUSINESS checking bonus carries the same 'subject to ChexSystems' fine print","NOT IN PRIOR FILE (UNKNOWN)","NOTHING NEW — UNKNOWN stands","Credit inquiry listed 'Unknown'; Chex applies to business accounts too",https://www.hustlermoneyblog.com/valley-first-credit-union-promotions/,"NEW: UNKNOWN -> subject to Chex incl. BUSINESS accounts (secondary). valleyfirstcu.org 403s direct fetch."
SUN COMMUNITY FEDERAL CREDIT UNION,164,NOT IN PRIOR FILE (UNKNOWN),"TWIN-TRAP ONLY: 2026-06-12 search returned unchex 'Sun Federal CU' (Toledo OH) and 'Western Sun FCU' (OK) — neither is Sun Community FCU (El Centro CA); discarded; UNKNOWN stands","Business: UNKNOWN",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","—",https://www.suncommunity.com/,"Two twins documented."
SACRAMENTO CREDIT UNION,172,NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — 2026-06-12 search: sactocu.org membership pages silent; not on LetMeBank CA list either way; UNKNOWN stands","Business: UNKNOWN",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","—",https://www.sactocu.org/About/Become-a-Member,"Ask at opening."
UNCLE CREDIT UNION,182,NOT IN PRIOR FILE (UNKNOWN),"NEW VERIFIED (business doc): own Business Membership & Account Handbook (rev. 04/2021, 25pp): 'We can check your credit or account history if you request credit or an account' (inquiry authorization, vendor unnamed) + 'If you fail to meet your obligations... we can report negative information about you to consumer reporting agencies such as ChexSystems' [VERIFIED (own doc); fetched 2026-06-12]","Business: YES — this IS the business handbook; biz accounts carry Chex-reporting + generic-CRA inquiry authorization",NOT IN PRIOR FILE (UNKNOWN),"NEW: 0 'Early Warning' hits in 25-pg business handbook — lean-no [VERIFIED-absence; 2026-06-12]","Inquiry vendor unnamed (generic CRA); Chex named only as reporting destination",https://www.unclecu.org/wp-content/uploads/2017/04/UNCLEBusinessBankingMemberHandbook.pdf,"NEW: UNKNOWN -> Chex-reporter VERIFIED (business-specific doc)."
USC CREDIT UNION,184,NOT IN PRIOR FILE (UNKNOWN),"NEW VERIFIED: own checking page footnote (CampusSpend): 'Must pass Chexsystem. All accounts are subject to approval process.' [VERIFIED (own site); fetched 2026-06-12]","Business: footnote is on consumer checking; biz checking page not explicit",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","Chex is a pass/fail GATE ('must pass') — lean strict",https://www.usccreditunion.org/checking-accounts/,"NEW: UNKNOWN -> VERIFIED uses Chex as eligibility gate."
Shinhan Bank America,202,"UNKNOWN (prior searched, no data)","NOTHING NEW — 2026-06-12 search: zero Shinhan-specific Chex/EWS data; UNKNOWN stands","Business: branch-channel; biz card requires primary deposit-or-loan relationship",UNKNOWN,"NOTHING NEW — UNKNOWN stands","—",https://www.shbamerica.com/,"Korean-American branch bank; ask at opening."
Amalgamated Bank,209,NOT IN PRIOR FILE (UNKNOWN),"NEW: NY AG Schneiderman initiative (2015-11): Amalgamated USES ChexSystems to screen checking applicants BUT modified procedures — applicants with resolved/paid-off overdrawn accounts approved; those not qualifying get a LIMITED no-overdraft account instead of outright rejection; screening now mainly identity/fraud [OFFICIAL (NY AG press release); 2015]","Business: NY AG initiative was consumer checking; biz accounts (FNBO-card partner) not covered",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","LENIENT: 'uses-but-lenient' — fallback limited account offered instead of denial; old (2015) but official",https://ag.ny.gov/press-release/2015/ag-schneiderman-issues-letter-calling-banks-revise-their-applicant-screening,"NEW: UNKNOWN -> uses-Chex-lenient (official source, dated 2015 — policy may have evolved)."
"City First Bank, National Association",243,UNKNOWN,"NOTHING NEW — 2026-06-12 search: cityfirstbank.com silent (CDFI, commercial-deposit focused); UNKNOWN stands","Business: commercial/CDFI deposits are RM-channel",UNKNOWN,"NOTHING NEW — UNKNOWN stands","—",https://www.cityfirstbank.com/,"Ask at opening."
Safra National Bank of New York,267,NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — 2026-06-12 search: private-bank/HNW onboarding, no public deposit agreement, no DPs; UNKNOWN stands (lean: manual private-bank review)","Business: Safrapay biz card channel separate; deposit onboarding manual",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","—",https://www.depositaccounts.com/banks/safra-national-bank.html,"Private bank — vendor screening unlikely to be published."
INTERFAITH FEDERAL CREDIT UNION,292,NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — 2026-06-12: own checking page (fetched) lists NO eligibility conditions at all — no Chex, no credit-check, no verification language; absence on a thin marketing page is NOT evidence; UNKNOWN stands","Business: Business Visa touts 'minimal paperwork' (credit side); deposit-screen unpublished",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","Soft signal: tiny faith-based CU, no Chex language anywhere + 'minimal paperwork' culture — call-to-verify candidate",https://interfaithfcu.org/checking,"Fetched own page 2026-06-12; stays UNKNOWN per rules."
Bank of Guam,341,NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — 2026-06-12 search: only mobile-deposit T&C PDF indexed; no screening vendor named; UNKNOWN stands","Business: UNKNOWN",NOT IN PRIOR FILE (UNKNOWN),"NOTHING NEW — UNKNOWN stands","—",https://bankofguam.com/,"Ask at branch (SF branch for CA)."
